mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1103.2092083295186,1.8048867995403433,198.68062369028726,0.21982618176310323,0.1,scale,"{'C': 0.1, 'gamma': 'scale'}",0.421220503694202,0.41673920368640555,0.431294091368966,0.42308459958319117,0.006086451017108817,9
1085.0960362752278,3.3391062261139854,205.7539823849996,1.5438257512730986,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.4194018580891106,0.414329626095887,0.43062905598784423,0.42145351339094733,0.006810522290733798,10
1184.2293277581532,0.7769057794912676,203.3794093132019,0.12364112212964788,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.3762618947466708,0.36823336537282464,0.3837012416811766,0.37606550060022403,0.006316260885903294,15
1231.6974934736888,0.16875891831947992,242.24657543500265,0.4890124171088064,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.00045228403437358656,0.03396313952004825,0.0004523778648078918,0.011622600473076575,0.015797146655522964,16
829.9388020038605,4.5975220995733,207.78413399060568,0.5365513250823027,1.0,scale,"{'C': 1, 'gamma': 'scale'}",0.511871428143929,0.5025609006682075,0.5196570663524667,0.5113631317215344,0.0069887287454240615,5
814.0508813858032,4.359518477779587,206.97974967956543,0.7754727902229578,1.0,0.1,"{'C': 1, 'gamma': 0.1}",0.4976020728461771,0.49084182777318996,0.5042515322301113,0.49756514428315946,0.00547455119588623,7
865.4011127948761,1.1515917185663078,254.31117947896323,0.38259264223803596,1.0,0.01,"{'C': 1, 'gamma': 0.01}",0.40986587928729085,0.4036249261616042,0.4152655353762101,0.40958544694170174,0.00475639411369097,12
1024.2342538833618,1.489415291191199,317.1942844390869,0.3954902423590118,1.0,0.001,"{'C': 1, 'gamma': 0.001}",0.37730966750201966,0.37029743379198404,0.38477665818124696,0.3774612531584169,0.005912090345897156,14
1056.7809592882793,4.671457780610632,207.98266331354776,0.9351779017008846,10.0,scale,"{'C': 10, 'gamma': 'scale'}",0.5390151686316902,0.5317340021052136,0.5456488568779101,0.5387993425382713,0.0056827652607546,1
1050.3952173391979,3.125771823200841,206.63419795036316,0.7466369881378813,10.0,0.1,"{'C': 10, 'gamma': 0.1}",0.5310997649414771,0.5264455345701969,0.5385281262289303,0.5320244752468681,0.004975846471345056,3
784.672916094462,3.4588938024793054,215.55468893051147,1.4946153538868712,10.0,0.01,"{'C': 10, 'gamma': 0.01}",0.43722261306045934,0.4281535760976766,0.44647908828027966,0.43728509247947184,0.007481489466099343,8
763.7303232351939,1.225797354049586,270.18358333905536,1.4719728494586595,10.0,0.001,"{'C': 10, 'gamma': 0.001}",0.4054655008246037,0.39969485437634994,0.4127363352984167,0.40596556349979007,0.005335891251358965,13
994.0627938906351,3.233688687129601,175.09800998369852,2.9368979325397326,100.0,scale,"{'C': 100, 'gamma': 'scale'}",0.5390990988310734,0.5314578196286788,0.5448162625632866,0.5384577270076796,0.005472386302834521,2
987.976731300354,8.833280524870789,136.4785420099894,5.448843129355744,100.0,0.1,"{'C': 100, 'gamma': 0.1}",0.5298242995924081,0.5267678163195613,0.5374275121587694,0.5313398760235796,0.004481815687505056,4
877.9495595296224,4.786299521472947,186.17647059758505,4.9056021433791,100.0,0.01,"{'C': 100, 'gamma': 0.01}",0.5027983260156144,0.496032174602239,0.5088376596037045,0.5025560534071859,0.005230623515623215,6
735.0390096505483,2.0449429640324324,124.55229671796162,1.9194578063207333,100.0,0.001,"{'C': 100, 'gamma': 0.001}",0.4162973058921869,0.399092054387059,0.4185259455468973,0.4113051019420477,0.008683724493286233,11
